order_id,product_id,category,region,supplier,channel,customer_segment,price,shipping_days,customer_rating,return_flag
O00042,P0002,Electronics,West,Supplier_3,Third-party,New,26.85,6,4.4,0
O00043,P0214,Home Decor,South,Supplier_10,Website,Returning,455.57,9,2.7,0
O00044,P0373,Books,South,Supplier_2,Mobile App,Loyal,136.8,4,2.8,0
O00045,P0126,Electronics,West,Supplier_8,Mobile App,New,334.64,2,3.5,0
O00046,P0221,Electronics,East,Supplier_9,Mobile App,New,162.74,5,4.1,0
O00047,P0452,Books,Central,Supplier_8,Website,Loyal,264.83,3,1.1,0
O00048,P0473,Clothing,West,Supplier_6,Mobile App,Loyal,277.89,2,3.4,0
O00049,P0087,Beauty,East,Supplier_6,Website,New,100.58,1,1.7,0
O00050,P0173,Books,Central,Supplier_10,Mobile App,Loyal,485.1,2,2.4,0
O00051,P0203,Home Decor,West,Supplier_8,Website,New,389.82,6,2.4,1
O00052,P0451,Clothing,Central,Supplier_1,Website,Returning,470.35,8,2.9,1
O00053,P0455,Home Decor,Central,Supplier_10,Mobile App,Loyal,448.47,3,2.3,0
O00054,P0220,Clothing,West,Supplier_7,Website,Returning,302.97,9,1.4,0
O00055,P0470,Beauty,West,Supplier_7,Mobile App,Returning,461.72,9,1.6,0
O00056,P0202,Beauty,West,Supplier_3,Mobile App,Returning,53.36,2,1.1,0
O00057,P0327,Clothing,North,Supplier_10,Mobile App,Returning,106.03,8,2.9,0
O00058,P0241,Clothing,East,Supplier_8,Third-party,Returning,32.16,5,4.8,0
O00059,P0456,Books,West,Supplier_6,Mobile App,New,169.41,4,1.5,0
O00060,P0102,Books,North,Supplier_2,Mobile App,Returning,200.45,5,4.8,0
O00061,P0090,Clothing,South,Supplier_5,Website,Loyal,142.96,4,3.9,0
O00062,P0281,Home Decor,North,Supplier_9,Mobile App,Returning,416.08,8,3.5,0
O00063,P0456,Beauty,West,Supplier_10,Website,New,184.81,4,3.6,0
O00064,P0281,Books,Central,Supplier_7,Website,Loyal,147.66,6,4.3,0
O00065,P0153,Books,East,Supplier_10,Mobile App,New,275.92,2,1.4,0
O00066,P0496,Home Decor,Central,Supplier_5,Website,Loyal,79.05,5,3.0,0
O00067,P0023,Books,East,Supplier_7,Website,Returning,403.08,6,3.8,0
O00068,P0450,Clothing,North,Supplier_6,Mobile App,Loyal,46.53,5,3.3,1
O00069,P0429,Toys,Central,Supplier_4,Third-party,Loyal,493.57,2,4.3,0
O00070,P0420,Home Decor,West,Supplier_7,Website,New,388.4,7,1.3,1
O00071,P0281,Electronics,Central,Supplier_8,Mobile App,New,107.37,4,3.8,0
O00072,P0319,Home Decor,North,Supplier_1,Website,New,12.71,8,3.1,0
O00073,P0111,Home Decor,Central,Supplier_9,Mobile App,Returning,409.58,7,2.5,0
O00074,P0388,Home Decor,West,Supplier_6,Website,New,356.36,7,2.4,1
O00075,P0398,Books,Central,Supplier_8,Third-party,Loyal,367.21,9,3.5,0
O00076,P0071,Beauty,South,Supplier_6,Third-party,Loyal,387.92,1,4.6,0
O00077,P0090,Books,West,Supplier_2,Website,Returning,46.28,6,3.0,0
O00078,P0349,Books,North,Supplier_6,Third-party,New,185.65,6,4.3,0
O00079,P0393,Electronics,South,Supplier_6,Third-party,Loyal,66.78,6,2.6,1
O00080,P0041,Beauty,South,Supplier_5,Third-party,New,432.92,6,1.4,0
O00081,P0293,Books,West,Supplier_8,Third-party,Returning,315.42,7,1.2,0
O00082,P0280,Beauty,Central,Supplier_2,Mobile App,Loyal,172.14,6,1.2,0
O00083,P0050,Electronics,North,Supplier_1,Website,Returning,41.14,1,2.5,0
O00084,P0156,Books,West,Supplier_8,Third-party,Returning,162.38,3,2.3,0
O00085,P0083,Electronics,East,Supplier_9,Third-party,Returning,169.34,2,3.9,0
O00086,P0426,Toys,Central,Supplier_1,Mobile App,Returning,367.51,6,4.0,0
O00087,P0457,Beauty,East,Supplier_4,Third-party,Loyal,322.4,8,1.2,1
O00088,P0359,Home Decor,West,Supplier_7,Mobile App,New,444.73,3,1.9,0
O00089,P0161,Books,Central,Supplier_9,Third-party,Returning,241.39,8,2.1,0
O00090,P0260,Home Decor,West,Supplier_9,Mobile App,Loyal,68.6,8,3.2,1
O00091,P0275,Home Decor,Central,Supplier_5,Website,Returning,359.49,5,1.6,0
O00092,P0088,Beauty,South,Supplier_8,Mobile App,Returning,382.78,8,1.5,0
O00093,P0032,Clothing,East,Supplier_9,Third-party,Returning,285.03,6,4.8,0
O00094,P0476,Home Decor,South,Supplier_3,Website,Returning,387.77,5,4.2,0
O00095,P0271,Clothing,West,Supplier_9,Website,Loyal,251.96,9,1.7,0
O00096,P0106,Beauty,North,Supplier_6,Website,New,266.14,7,2.6,1
O00097,P0455,Beauty,West,Supplier_1,Mobile App,New,219.5,8,2.4,0
O00098,P0323,Electronics,North,Supplier_6,Website,Returning,22.46,1,4.2,1
O00099,P0089,Beauty,Central,Supplier_3,Website,Loyal,62.87,2,3.0,0
O00100,P0206,Electronics,Central,Supplier_1,Third-party,New,25.4,8,1.5,0
O00101,P0336,Clothing,North,Supplier_4,Mobile App,Loyal,321.84,9,4.0,0
O00102,P0253,Toys,North,Supplier_9,Third-party,New,164.03,4,2.6,0
O00103,P0451,Electronics,Central,Supplier_8,Website,New,259.2,9,2.1,0
O00104,P0183,Home Decor,Central,Supplier_3,Third-party,Loyal,454.71,4,2.5,0
O00105,P0210,Electronics,East,Supplier_1,Website,New,132.15,9,3.0,0
O00106,P0245,Books,East,Supplier_10,Third-party,New,211.09,7,2.4,0
O00107,P0285,Home Decor,West,Supplier_1,Mobile App,Returning,380.22,2,2.0,0
O00108,P0263,Toys,North,Supplier_5,Third-party,Loyal,122.11,9,2.6,0
O00109,P0200,Books,Central,Supplier_9,Third-party,New,47.72,4,1.1,1
O00110,P0412,Beauty,Central,Supplier_2,Third-party,Loyal,151.98,8,4.1,0
O00111,P0313,Electronics,Central,Supplier_4,Mobile App,New,89.0,7,1.7,1
O00112,P0174,Books,East,Supplier_2,Mobile App,Returning,465.55,7,1.2,0
O00113,P0270,Beauty,West,Supplier_7,Third-party,Loyal,405.98,8,3.6,0
O00114,P0095,Toys,West,Supplier_2,Mobile App,New,320.37,1,4.1,0
O00115,P0120,Clothing,West,Supplier_2,Third-party,Returning,437.02,5,4.3,0
O00116,P0456,Beauty,East,Supplier_7,Third-party,New,403.8,2,3.0,0
O00117,P0228,Home Decor,West,Supplier_1,Mobile App,Loyal,101.42,2,1.8,0
O00118,P0361,Beauty,Central,Supplier_7,Third-party,Returning,447.35,1,3.9,0
O00119,P0115,Clothing,West,Supplier_3,Third-party,Loyal,274.28,5,3.8,0
O00120,P0455,Electronics,East,Supplier_7,Mobile App,Loyal,405.65,2,2.0,0
O00121,P0243,Books,East,Supplier_3,Website,New,449.08,4,4.6,0
O00122,P0084,Toys,North,Supplier_6,Third-party,Returning,165.82,3,1.4,0
O00123,P0228,Toys,Central,Supplier_2,Third-party,Loyal,63.93,3,4.9,0
O00124,P0374,Beauty,Central,Supplier_3,Website,Loyal,121.69,2,4.4,0
O00125,P0199,Beauty,South,Supplier_9,Website,Returning,219.28,6,3.8,0
O00126,P0149,Home Decor,North,Supplier_1,Third-party,New,410.83,2,4.8,0
O00127,P0162,Toys,Central,Supplier_5,Mobile App,Loyal,431.76,8,3.9,0
O00128,P0054,Books,Central,Supplier_2,Website,Loyal,13.41,8,1.8,0
O00129,P0255,Clothing,North,Supplier_9,Third-party,New,260.27,5,2.8,0
O00130,P0180,Toys,West,Supplier_1,Website,Loyal,214.53,7,1.3,0
O00131,P0117,Electronics,East,Supplier_5,Website,Returning,118.83,4,2.6,0
O00132,P0033,Home Decor,West,Supplier_7,Third-party,New,68.73,1,4.0,0
O00133,P0182,Clothing,East,Supplier_2,Mobile App,Loyal,175.43,2,2.5,0
O00134,P0425,Home Decor,North,Supplier_4,Mobile App,Returning,472.03,4,2.3,0
O00135,P0044,Books,West,Supplier_3,Website,Loyal,168.37,1,3.4,0
O00136,P0030,Clothing,South,Supplier_8,Third-party,Loyal,264.21,8,4.5,0
O00137,P0263,Books,East,Supplier_2,Mobile App,Returning,354.48,9,1.2,0
O00138,P0320,Books,South,Supplier_2,Mobile App,New,188.18,4,2.5,1
O00139,P0457,Toys,East,Supplier_10,Website,New,486.17,3,1.6,0
O00140,P0002,Home Decor,West,Supplier_8,Third-party,Returning,481.6,2,3.8,0
O00141,P0231,Books,Central,Supplier_7,Website,Loyal,133.37,5,1.4,0
O00142,P0023,Toys,East,Supplier_2,Website,Loyal,253.65,3,3.7,0
O00143,P0359,Books,West,Supplier_2,Mobile App,Loyal,157.43,7,2.1,0
O00144,P0061,Home Decor,South,Supplier_6,Website,Loyal,149.57,6,1.8,1
O00145,P0448,Home Decor,Central,Supplier_9,Mobile App,New,28.07,1,4.7,0
O00146,P0474,Clothing,North,Supplier_1,Third-party,New,308.69,8,1.1,0
O00147,P0223,Books,Central,Supplier_4,Website,Loyal,256.31,2,2.8,0
O00148,P0273,Clothing,South,Supplier_2,Third-party,Loyal,35.22,5,1.1,0
O00149,P0121,Beauty,South,Supplier_3,Website,Loyal,146.54,9,2.9,0
O00150,P0317,Toys,East,Supplier_5,Third-party,New,455.05,8,3.0,0
O00151,P0313,Beauty,North,Supplier_1,Mobile App,Loyal,127.39,2,2.3,0
O00152,P0402,Beauty,North,Supplier_1,Third-party,Returning,81.0,9,1.5,0
O00153,P0394,Beauty,West,Supplier_3,Website,Loyal,249.83,5,2.5,0
O00154,P0074,Electronics,South,Supplier_5,Mobile App,Loyal,492.97,6,3.7,0
O00155,P0446,Home Decor,South,Supplier_10,Third-party,New,128.61,3,4.1,0
O00156,P0312,Beauty,Central,Supplier_7,Mobile App,New,339.35,3,3.1,0
O00157,P0275,Home Decor,North,Supplier_10,Website,Returning,383.19,8,3.4,0
O00158,P0203,Beauty,West,Supplier_2,Website,Loyal,126.44,2,1.8,0
O00159,P0022,Toys,East,Supplier_3,Website,Returning,366.83,2,2.1,0
O00160,P0470,Electronics,Central,Supplier_7,Website,New,190.21,5,1.6,0
O00161,P0081,Clothing,West,Supplier_3,Third-party,Returning,319.83,6,2.0,0
O00162,P0172,Home Decor,Central,Supplier_10,Third-party,Returning,320.43,2,1.9,0
O00163,P0309,Electronics,Central,Supplier_8,Third-party,New,272.53,5,3.1,0
O00164,P0345,Toys,South,Supplier_5,Mobile App,Returning,54.24,7,3.3,0
O00165,P0489,Toys,Central,Supplier_8,Third-party,New,419.3,8,4.8,0
O00166,P0401,Home Decor,North,Supplier_5,Third-party,Loyal,167.18,7,1.8,0
O00167,P0215,Clothing,Central,Supplier_2,Website,New,101.39,8,3.6,1
O00168,P0173,Clothing,West,Supplier_8,Website,Returning,29.98,9,4.3,0
O00169,P0179,Home Decor,East,Supplier_8,Mobile App,New,299.54,5,3.2,0
O00170,P0201,Beauty,East,Supplier_5,Website,Returning,342.01,5,2.0,0
O00171,P0292,Clothing,East,Supplier_9,Third-party,Returning,18.13,4,2.1,0
O00172,P0266,Books,Central,Supplier_8,Mobile App,New,260.93,9,1.2,0
O00173,P0336,Beauty,West,Supplier_9,Mobile App,Loyal,120.98,5,2.2,0
O00174,P0322,Books,West,Supplier_10,Mobile App,Returning,326.13,2,4.0,0
O00175,P0313,Beauty,South,Supplier_3,Website,Loyal,95.44,8,1.2,1
O00176,P0378,Clothing,East,Supplier_1,Third-party,Loyal,348.56,7,1.9,0
O00177,P0155,Books,Central,Supplier_7,Third-party,New,199.5,8,3.8,0
O00178,P0435,Books,West,Supplier_9,Mobile App,Returning,469.0,3,4.1,0
O00179,P0497,Clothing,East,Supplier_8,Third-party,New,77.39,4,2.8,0
O00180,P0499,Toys,West,Supplier_9,Third-party,Loyal,177.12,5,3.8,0
O00181,P0009,Beauty,Central,Supplier_5,Mobile App,Returning,65.6,6,2.6,1
O00182,P0486,Books,West,Supplier_8,Website,Loyal,463.1,1,1.6,0
O00183,P0134,Toys,North,Supplier_10,Website,New,439.9,4,2.6,1
O00184,P0092,Books,South,Supplier_2,Third-party,Returning,136.39,5,3.3,1
O00185,P0191,Home Decor,North,Supplier_2,Mobile App,Returning,333.39,7,4.8,0
O00186,P0233,Home Decor,West,Supplier_7,Third-party,New,410.44,5,1.3,0
O00187,P0147,Clothing,North,Supplier_2,Mobile App,New,282.05,1,3.0,0
O00188,P0408,Beauty,Central,Supplier_1,Third-party,New,269.53,7,2.3,0
O00189,P0364,Clothing,North,Supplier_1,Third-party,Loyal,128.51,8,3.0,0
O00190,P0045,Books,South,Supplier_2,Third-party,Loyal,55.62,7,1.1,1
O00191,P0269,Clothing,East,Supplier_8,Mobile App,Returning,449.64,4,2.3,0
O00192,P0478,Books,North,Supplier_2,Mobile App,New,451.2,8,4.3,1
O00193,P0217,Toys,West,Supplier_6,Website,Returning,320.22,5,3.2,0
O00194,P0351,Toys,Central,Supplier_3,Mobile App,New,176.12,9,2.8,1
O00195,P0168,Electronics,East,Supplier_4,Website,New,181.11,5,2.1,0
O00196,P0235,Electronics,West,Supplier_4,Mobile App,Loyal,365.72,1,2.2,0
O00197,P0349,Electronics,West,Supplier_6,Mobile App,New,449.58,9,2.5,0
O00198,P0270,Electronics,North,Supplier_3,Third-party,New,444.67,5,4.3,0
O00199,P0229,Clothing,North,Supplier_6,Third-party,Returning,392.14,6,4.9,0
O00200,P0476,Home Decor,South,Supplier_1,Third-party,Loyal,324.6,4,2.8,0
O00201,P0231,Home Decor,South,Supplier_10,Third-party,Returning,51.23,6,2.6,0
O00202,P0134,Clothing,West,Supplier_9,Mobile App,New,89.2,8,4.4,0
O00203,P0008,Toys,South,Supplier_7,Website,Loyal,450.29,3,2.7,0
O00204,P0125,Clothing,South,Supplier_6,Third-party,New,307.15,5,3.2,0
O00205,P0359,Beauty,West,Supplier_5,Mobile App,New,14.51,2,1.9,1
O00206,P0051,Clothing,Central,Supplier_5,Third-party,New,59.72,2,4.0,0
O00207,P0247,Clothing,West,Supplier_9,Third-party,New,335.12,7,3.1,1
O00208,P0478,Clothing,Central,Supplier_4,Website,New,12.48,6,4.2,0
O00209,P0229,Beauty,East,Supplier_3,Website,Loyal,88.8,4,4.1,0
O00210,P0247,Home Decor,South,Supplier_1,Mobile App,Loyal,278.88,5,1.9,1
O00211,P0317,Toys,West,Supplier_9,Third-party,Loyal,349.03,1,3.9,0
O00212,P0258,Electronics,North,Supplier_3,Website,Returning,329.46,7,4.2,0
O00213,P0400,Books,Central,Supplier_3,Third-party,New,119.89,8,2.4,0
O00214,P0262,Home Decor,South,Supplier_8,Website,Returning,358.97,9,1.7,0
O00215,P0479,Beauty,West,Supplier_1,Website,New,126.25,8,1.0,0
O00216,P0127,Clothing,West,Supplier_4,Website,Returning,169.45,5,2.8,0
O00217,P0175,Electronics,Central,Supplier_1,Website,Returning,375.78,3,2.4,0
O00218,P0334,Home Decor,West,Supplier_8,Mobile App,Returning,328.32,9,3.2,1
O00219,P0031,Books,Central,Supplier_7,Third-party,Loyal,426.12,6,1.8,0
O00220,P0062,Clothing,East,Supplier_5,Website,New,332.23,5,4.4,1
O00221,P0488,Home Decor,South,Supplier_6,Mobile App,New,288.47,3,2.0,0
O00222,P0110,Toys,North,Supplier_4,Third-party,New,55.9,6,1.9,0
O00223,P0396,Electronics,East,Supplier_2,Website,New,190.18,3,2.9,0
O00224,P0190,Clothing,South,Supplier_3,Mobile App,New,139.95,6,3.0,1
O00225,P0197,Electronics,Central,Supplier_1,Third-party,New,129.55,4,1.9,0
O00226,P0310,Home Decor,East,Supplier_4,Mobile App,Returning,486.78,2,2.1,0
O00227,P0045,Beauty,West,Supplier_5,Mobile App,Returning,202.62,8,1.7,1
O00228,P0381,Electronics,West,Supplier_5,Mobile App,New,447.1,4,3.9,0
O00229,P0441,Books,West,Supplier_9,Third-party,Returning,319.26,9,4.1,0
O00230,P0261,Toys,South,Supplier_6,Website,New,399.46,7,2.8,1
O00231,P0047,Toys,East,Supplier_9,Third-party,Loyal,256.29,2,3.9,0
O00232,P0207,Clothing,South,Supplier_3,Website,New,292.68,4,3.9,0
O00233,P0182,Toys,East,Supplier_1,Website,New,251.33,5,1.6,0
O00234,P0409,Home Decor,Central,Supplier_7,Third-party,Returning,105.67,3,4.9,0
O00235,P0399,Beauty,West,Supplier_10,Mobile App,Loyal,364.0,9,4.3,0
O00236,P0316,Books,North,Supplier_6,Mobile App,Returning,147.58,5,1.8,0
O00237,P0403,Clothing,Central,Supplier_10,Website,New,21.91,2,1.7,0
O00238,P0454,Books,Central,Supplier_2,Website,New,326.28,3,1.5,0
O00239,P0336,Toys,North,Supplier_4,Website,Loyal,96.78,9,1.6,0
O00240,P0380,Toys,South,Supplier_8,Mobile App,New,470.82,7,4.0,1
O00241,P0388,Clothing,West,Supplier_3,Third-party,Returning,477.43,2,2.9,1
O00242,P0236,Clothing,North,Supplier_4,Mobile App,New,458.28,9,4.1,0
O00243,P0258,Electronics,North,Supplier_4,Website,Returning,191.38,4,4.0,0
O00244,P0005,Electronics,South,Supplier_6,Mobile App,Returning,17.57,9,3.4,1
O00245,P0349,Electronics,East,Supplier_3,Website,Returning,464.88,2,3.7,1
O00246,P0236,Electronics,South,Supplier_9,Mobile App,New,219.81,4,1.1,0
O00247,P0401,Toys,Central,Supplier_1,Third-party,Returning,483.66,5,2.2,0
O00248,P0472,Beauty,East,Supplier_10,Website,New,482.17,2,3.6,0
O00249,P0129,Electronics,East,Supplier_3,Third-party,Returning,427.97,1,1.0,0
O00250,P0489,Home Decor,South,Supplier_4,Website,New,154.28,7,1.1,0
O00251,P0151,Books,East,Supplier_1,Mobile App,Loyal,198.7,1,4.4,0
O00252,P0176,Beauty,West,Supplier_7,Third-party,New,427.06,8,3.7,0
O00253,P0494,Beauty,North,Supplier_6,Third-party,New,165.29,3,2.1,1
O00254,P0279,Clothing,South,Supplier_2,Website,Returning,93.05,6,3.8,0
O00255,P0019,Clothing,Central,Supplier_10,Mobile App,Loyal,282.83,7,4.2,0
O00256,P0246,Toys,North,Supplier_2,Website,Loyal,468.72,1,2.2,0
O00257,P0466,Home Decor,Central,Supplier_4,Mobile App,Loyal,351.05,6,1.1,1
O00258,P0060,Beauty,West,Supplier_7,Third-party,New,289.33,7,4.7,0
O00259,P0310,Home Decor,South,Supplier_1,Mobile App,New,57.62,6,2.4,1
O00260,P0179,Beauty,East,Supplier_4,Third-party,Returning,311.35,4,1.4,0
O00261,P0272,Electronics,East,Supplier_2,Third-party,Loyal,495.13,1,3.0,0
O00262,P0183,Clothing,East,Supplier_4,Mobile App,Returning,78.64,9,4.1,0
O00263,P0454,Books,South,Supplier_6,Website,Loyal,263.98,4,1.9,0
O00264,P0442,Electronics,East,Supplier_9,Mobile App,Loyal,439.91,7,2.1,0
O00265,P0229,Toys,Central,Supplier_9,Website,New,372.98,7,2.0,0
O00266,P0141,Beauty,East,Supplier_9,Website,New,351.54,2,5.0,0
O00267,P0275,Clothing,East,Supplier_6,Third-party,Loyal,354.22,1,1.8,0
O00268,P0147,Electronics,East,Supplier_5,Mobile App,Loyal,186.15,8,3.3,1
O00269,P0168,Home Decor,North,Supplier_9,Mobile App,Returning,153.86,8,4.7,0
O00270,P0221,Clothing,North,Supplier_9,Mobile App,New,406.59,7,1.6,0
O00271,P0087,Electronics,Central,Supplier_7,Third-party,Loyal,406.96,8,4.9,1
O00272,P0188,Home Decor,East,Supplier_3,Third-party,Returning,434.87,3,4.8,0
O00273,P0242,Beauty,North,Supplier_1,Mobile App,New,457.49,2,4.5,0
O00274,P0205,Home Decor,North,Supplier_1,Website,Loyal,260.56,7,1.9,0
O00275,P0423,Beauty,South,Supplier_2,Mobile App,Returning,255.74,8,3.5,0
O00276,P0380,Beauty,East,Supplier_9,Website,New,401.16,1,4.0,0
O00277,P0196,Home Decor,South,Supplier_3,Mobile App,Returning,328.48,9,4.9,0
O00278,P0027,Books,South,Supplier_10,Third-party,Returning,353.96,4,1.7,1
O00279,P0418,Books,East,Supplier_10,Mobile App,Loyal,399.94,4,4.1,0
O00280,P0304,Home Decor,South,Supplier_2,Mobile App,Returning,446.1,3,2.4,0
O00281,P0442,Home Decor,North,Supplier_3,Third-party,Loyal,175.62,6,1.7,0
O00282,P0323,Beauty,South,Supplier_3,Website,Returning,194.04,1,2.7,0
O00283,P0338,Toys,South,Supplier_5,Third-party,Returning,56.05,6,4.2,0
O00284,P0298,Beauty,South,Supplier_4,Mobile App,New,293.36,2,2.9,0
O00285,P0117,Clothing,East,Supplier_1,Website,New,27.61,9,3.2,1
O00286,P0315,Toys,West,Supplier_6,Website,New,238.14,2,5.0,1
O00287,P0345,Beauty,East,Supplier_2,Third-party,Loyal,275.9,7,2.6,0
O00288,P0448,Electronics,West,Supplier_7,Third-party,New,150.41,1,3.5,0
O00289,P0349,Home Decor,West,Supplier_6,Third-party,New,299.51,7,2.5,0
O00290,P0381,Home Decor,East,Supplier_7,Website,New,24.95,5,2.6,0
O00291,P0235,Beauty,West,Supplier_10,Mobile App,New,28.3,8,3.8,0
O00292,P0395,Home Decor,South,Supplier_3,Website,Returning,413.07,4,4.8,0
O00293,P0323,Books,South,Supplier_9,Website,New,186.49,7,3.2,0
O00294,P0063,Books,North,Supplier_2,Website,New,72.26,6,4.1,0
O00295,P0226,Books,South,Supplier_4,Website,Returning,265.9,5,1.4,0
O00296,P0215,Clothing,South,Supplier_4,Website,New,387.3,4,1.8,0
O00297,P0185,Toys,West,Supplier_6,Third-party,Returning,115.75,7,3.0,1
O00298,P0353,Beauty,South,Supplier_8,Website,Returning,315.22,5,1.1,0
O00299,P0027,Toys,Central,Supplier_5,Website,New,51.82,5,2.0,0
O00300,P0166,Toys,South,Supplier_9,Mobile App,Loyal,35.32,1,3.1,0
O00301,P0356,Books,West,Supplier_10,Mobile App,New,270.36,2,1.1,0
O00302,P0260,Books,North,Supplier_4,Third-party,Loyal,274.91,5,2.1,0
O00303,P0386,Electronics,North,Supplier_1,Mobile App,New,322.34,3,3.1,0
O00304,P0142,Beauty,North,Supplier_1,Mobile App,New,365.78,2,3.3,0
O00305,P0473,Toys,East,Supplier_10,Third-party,Returning,488.17,4,4.7,0
O00306,P0370,Electronics,West,Supplier_1,Mobile App,New,262.99,4,3.6,1
O00307,P0376,Books,Central,Supplier_1,Mobile App,Loyal,168.25,4,2.7,0
O00308,P0282,Clothing,Central,Supplier_4,Mobile App,Loyal,399.64,4,4.7,0
O00309,P0272,Home Decor,Central,Supplier_10,Mobile App,Loyal,142.71,3,4.1,0
O00310,P0265,Books,Central,Supplier_6,Website,Loyal,225.1,7,1.8,0
O00311,P0318,Beauty,Central,Supplier_8,Mobile App,Loyal,48.44,9,1.5,0
O00312,P0422,Books,East,Supplier_3,Third-party,New,22.42,5,3.7,0
O00313,P0243,Books,Central,Supplier_10,Third-party,New,481.7,4,3.2,1
O00314,P0268,Home Decor,North,Supplier_1,Third-party,Loyal,419.63,2,4.2,0
O00315,P0440,Clothing,North,Supplier_3,Third-party,Loyal,351.03,2,4.0,0
O00316,P0127,Beauty,West,Supplier_2,Third-party,New,210.39,5,3.5,0
O00317,P0081,Toys,East,Supplier_3,Website,Returning,94.91,7,4.9,0
O00318,P0368,Books,North,Supplier_1,Mobile App,New,86.65,9,3.1,0
O00319,P0342,Clothing,North,Supplier_6,Mobile App,Returning,132.62,7,1.5,1
O00320,P0082,Home Decor,West,Supplier_5,Mobile App,Returning,279.12,5,4.3,0
O00321,P0236,Electronics,East,Supplier_7,Mobile App,Returning,360.15,6,2.0,0
O00322,P0380,Electronics,West,Supplier_7,Website,New,333.5,3,4.1,0
O00323,P0062,Toys,North,Supplier_6,Third-party,Returning,147.17,5,4.8,0
O00324,P0080,Clothing,North,Supplier_6,Website,New,477.88,8,3.8,0
O00325,P0019,Beauty,West,Supplier_6,Mobile App,Loyal,371.57,1,3.4,0
O00326,P0488,Clothing,South,Supplier_3,Mobile App,New,281.63,1,2.8,0
O00327,P0462,Clothing,Central,Supplier_5,Mobile App,Returning,309.74,7,2.5,1
O00328,P0112,Toys,North,Supplier_2,Third-party,New,215.6,5,2.4,0
